title,start_time_seconds,formatted_time
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",388.481,06:28
Ulf Lago,409.332,06:49
Classe Nöid (S),1674.676,27:54
Fredrik Bergqvist (L),1726.006,28:46
Gunilla Hellberg (SD),1813.033,30:13
Niclas Clarén (KD),1900.109,31:40
Christopher  Jarnvall (SD),1953.478,32:33
Heléne Alpfjord Wylde (V),2031.42,33:51
Josef Erixon,2141.144,35:41
Roger  Eklund-Åkesson (M),3846.505,64:06
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",5280.004,88:00
Ingemar Hillerström (MP),5391.88,89:51
Tomas Tekmen (KD),5604.794,93:24
Ingemar Hillerström (MP) - Replik,5684.87,94:44
Tomas Tekmen (KD) - Genmäle,5741.384,95:41
Ingrid  Cassel (M),5771.286,96:11
Christopher  Jarnvall (SD),5848.365,97:28
Ingemar Hillerström (MP),5922.261,98:42
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",6018.676,100:18
Patrik  Palm (M),6143.031,102:23
Olle Vikmång (S),6190.467,103:10
Christopher  Jarnvall (SD),6259.358,104:19
Nicklas Lundström (V),6345.611,105:45
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",6473.125,107:53
Florian  Aranda (SD),6525.578,108:45
Annette Sjöö (S),6739.617,112:19
Florian  Aranda (SD) - Replik,6907.568,115:07
Gunilla Hellberg (SD) - Replik,6927.317,115:27
Annette Sjöö (S) - Genmäle,6957.255,115:57
Ingrid  Cassel (M),6986.23,116:26
Gunilla Hellberg (SD),7102.146,118:22
Robert Nordman (MP),7334.771,122:14
Gunilla Hellberg (SD) - Replik,7442.675,124:02
Robert Nordman (MP) - Genmäle,7463.448,124:23
Monica  Holtstad (L),7491.392,124:51
Gunilla Hellberg (SD) - Replik,7690.194,128:10
Monica  Holtstad (L) - Genmäle,7751.871,129:11
Florian  Aranda (SD) - Replik,7821.714,130:21
Monica  Holtstad (L) - Genmäle,7875.306,131:15
Maria Sayeler Behnam (S),7903.22,131:43
Florian  Aranda (SD) - Replik,8101.175,135:01
Maria Sayeler Behnam (S) - Genmäle,8156.806,135:56
Juris Irschs (M) Ordningsfråga,8220.55,137:00
Hedda Ottesen (MP),8235.265,137:15
Gunilla Hellberg (SD),8307.383,138:27
Christian Widlund (C),8513.35,141:53
Florian  Aranda (SD) - Replik,8693.775,144:53
Gunilla Hellberg (SD) - Replik,8715.648,145:15
Christopher  Jarnvall (SD),8762.491,146:02
Robert Nordman (MP) - Replik,8945.269,149:05
Hedda Ottesen (MP) - Replik,8985.623,149:45
Christopher  Jarnvall (SD) - Genmäle,9043.304,150:43
Niclas Clarén (KD),9069.328,151:09
Annette Sjöö (S),9116.776,151:56
Gunilla Hellberg (SD) - Replik,9202.033,153:22
Annette Sjöö (S) - Genmäle,9233.177,153:53
Florian  Aranda (SD),9258.185,154:18
Hedda Ottesen (MP),9326.125,155:26
Gunilla Hellberg (SD) - Replik,9375.729,156:15
Olle Vikmång (S),9561.871,159:21
Olle Vikmång (S),9591.933,159:51
Patrik  Palm (M),9752.007,162:32
Nicklas Lundström (V),9923.506,165:23
Robert Nordman (MP),10169.716,169:29
Christopher  Jarnvall (SD),10366.606,172:46
Nicklas Lundström (V),10443.807,174:03
Olle Vikmång (S),10689.74,178:09
Stefan Bergström (SD),10857.909,180:57
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",11031.312,183:51
Reidar Svedahl (-),11261.306,187:41
Olle Vikmång (S),11535.937,192:15
Reidar Svedahl (-),11777.939,196:17
Olle Vikmång (S),11980.023,199:40
Reidar Svedahl (-),12116.525,201:56
Olle Vikmång (S) - Replik,12214.199,203:34
Gunilla Hellberg (SD),12389.908,206:29
Erik Johansson (SD),12617.591,210:17
Maria Sayeler Behnam (S),12738.555,212:18
Gunilla Hellberg (SD) - Replik,12986.392,216:26
Maria Sayeler Behnam (S) - Genmäle,13050.255,217:30
Gunilla Hellberg (SD),13120.199,218:40
Maria Sayeler Behnam (S) - Replik,13175.878,219:35
"Irma Görtz (S), Kommunfullmäktiges 2:e vice ordförande",13266.901,221:06
Anna Sotkasiira Wik (M),13592.558,226:32
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",13594.73,226:34
Anna Sotkasiira Wik (M),13597.22,226:37
"Irma Görtz (S), Kommunfullmäktiges 2:e vice ordförande",13643.653,227:23
"Anna Sotkasiira Wik (M), Kommunfullmäktiges ordförande",13776.891,229:36
